InvoiceDate,Daily_Sales
2011-05-23,27851.81
2011-05-24,32390.48
2011-05-25,21620.93
2011-05-26,32506.38
2011-05-27,20972.72
2011-05-28,0.0
2011-05-29,7322.3
2011-05-30,0.0
2011-05-31,17736.35
2011-06-01,15299.94
2011-06-02,28064.56
2011-06-03,14981.26
2011-06-04,0.0
2011-06-05,25072.54
2011-06-06,16065.300000000001
2011-06-07,33809.51
2011-06-08,29680.75
2011-06-09,42335.82
2011-06-10,58101.12
2011-06-11,0.0
2011-06-12,12382.210000000001
2011-06-13,19217.74
2011-06-14,33334.08
2011-06-15,44781.54
2011-06-16,31916.77
2011-06-17,18913.23
2011-06-18,0.0
2011-06-19,22290.18
2011-06-20,25704.73
2011-06-21,19726.66
2011-06-22,20253.420000000002
2011-06-23,22283.56
2011-06-24,15811.710000000001
2011-06-25,0.0
2011-06-26,6934.49
2011-06-27,13394.2
2011-06-28,29914.37
2011-06-29,12560.83
2011-06-30,41602.04
2011-07-01,12034.29
2011-07-02,0.0
2011-07-03,6032.39
2011-07-04,30493.59
2011-07-05,25732.260000000002
2011-07-06,22733.63
2011-07-07,27681.66
2011-07-08,17356.35
2011-07-09,0.0
2011-07-10,5987.57
2011-07-11,19869.21
2011-07-12,17742.19
2011-07-13,19091.85
2011-07-14,31542.49
2011-07-15,11091.47
2011-07-16,0.0
2011-07-17,16904.6
2011-07-18,21449.72
2011-07-19,46338.04
2011-07-20,26436.55
2011-07-21,30000.71
2011-07-22,14441.77
2011-07-23,0.0
2011-07-24,26704.02
2011-07-25,19145.31
2011-07-26,17206.5
2011-07-27,22642.32
2011-07-28,53896.37
2011-07-29,17186.61
2011-07-30,0.0
2011-07-31,32990.43
2011-08-01,19450.4
2011-08-02,20083.1
2011-08-03,26482.77
2011-08-04,61605.19
2011-08-05,19510.3
2011-08-06,0.0
2011-08-07,7576.96
2011-08-08,19602.62
2011-08-09,25730.78
2011-08-10,19483.56
2011-08-11,51671.17
2011-08-12,17677.52
2011-08-13,0.0
2011-08-14,5718.57
2011-08-15,17085.97
2011-08-16,15986.84
2011-08-17,48556.11
2011-08-18,53952.41
2011-08-19,16914.59
2011-08-20,0.0
2011-08-21,14376.84
2011-08-22,29421.18
2011-08-23,22154.11
2011-08-24,38342.91
2011-08-25,22051.29
2011-08-26,23822.64
2011-08-27,0.0
2011-08-28,10805.03
2011-08-29,0.0
2011-08-30,8746.54
2011-08-31,19997.84
2011-09-01,36752.36
2011-09-02,29183.79
2011-09-03,0.0
2011-09-04,16843.03
2011-09-05,35214.7
2011-09-06,25172.82
2011-09-07,21726.420000000002
2011-09-08,22955.3
2011-09-09,24915.99
2011-09-10,0.0
2011-09-11,35209.67
2011-09-12,27989.4
2011-09-13,47995.63
2011-09-14,21937.95
2011-09-15,69587.57
2011-09-16,23104.98
2011-09-17,0.0
2011-09-18,15744.08
2011-09-19,46041.22
2011-09-20,103338.46
2011-09-21,37159.51
2011-09-22,57266.72
2011-09-23,31339.37
2011-09-24,0.0
2011-09-25,31174.66
2011-09-26,28510.76
2011-09-27,29187.36
2011-09-28,38433.25
2011-09-29,44407.37
2011-09-30,39708.44
2011-10-01,0.0
2011-10-02,11582.95
2011-10-03,58266.8
2011-10-04,38543.29
2011-10-05,73529.43000000001
2011-10-06,59725.05
2011-10-07,48612.67
2011-10-08,0.0
2011-10-09,12466.81
2011-10-10,42268.72
2011-10-11,46102.770000000004
2011-10-12,26844.39
2011-10-13,32560.18
2011-10-14,31163.7
2011-10-15,0.0
2011-10-16,22010.57
2011-10-17,45228.73
2011-10-18,36963.4
2011-10-19,30897.170000000002
2011-10-20,60779.81
2011-10-21,60222.26
2011-10-22,0.0
2011-10-23,12288.78
2011-10-24,36990.08
2011-10-25,35181.87
2011-10-26,33734.32
2011-10-27,46965.020000000004
2011-10-28,36702.45
2011-10-29,0.0
2011-10-30,34104.69
2011-10-31,31906.99
2011-11-01,28850.81
2011-11-02,38662.7
2011-11-03,60127.77
2011-11-04,55672.89
2011-11-05,0.0
2011-11-06,42581.6
2011-11-07,28350.24
2011-11-08,38045.52
2011-11-09,61007.93
2011-11-10,68238.81
2011-11-11,36285.42
2011-11-12,0.0
2011-11-13,28607.49
2011-11-14,56734.0
2011-11-15,46475.2
2011-11-16,48032.76
2011-11-17,54400.72
2011-11-18,35813.25
2011-11-19,0.0
2011-11-20,29976.920000000002
2011-11-21,44721.06
2011-11-22,48622.44
2011-11-23,70392.92
2011-11-24,37995.11
2011-11-25,26104.96
2011-11-26,0.0
2011-11-27,17294.68
2011-11-28,49929.91
2011-11-29,48373.68
2011-11-30,40846.98
2011-12-01,44163.35
2011-12-02,44316.69
2011-12-03,0.0
2011-12-04,20141.96
2011-12-05,55920.6
2011-12-06,45584.19
2011-12-07,68699.21
2011-12-08,50214.15
2011-12-09,184190.28
